car_make,car_model,price
Mazda,MX-5,49107
Mercury,Grand Marquis,54930
Volkswagen,Passat,57959
Mercury,Sable,23250
Chevrolet,Silverado 1500,52214
GMC,Vandura G3500,36091
Honda,CR-V,56392
Buick,Enclave,63079
Volkswagen,Jetta,16562
Pontiac,Firebird,38861
Ford,Escape,45351
Chevrolet,Impala,48279
Chevrolet,Prizm,19987
Toyota,Sienna,62035
Lamborghini,Murciélago LP640,15051
Toyota,Camry,12070
Toyota,Matrix,30311
Geo,Prizm,11455
Jeep,Grand Cherokee,20059
Audi,TT,29539
Mercedes-Benz,G-Class,53907
BMW,6 Series,52308
Buick,Lucerne,38858
Lincoln,Mark LT,49173
BMW,325,68718
Rolls-Royce,Ghost,47717
Acura,NSX,18229
Dodge,Ram 1500 Club,58199
Lotus,Elan,52412
Chevrolet,Impala SS,49129
Subaru,Legacy,20635
Dodge,Challenger,64690
Maserati,Spyder,33916
Toyota,Tundra,48279
GMC,Rally Wagon G3500,16905
Toyota,Prius,39829
Porsche,911,40976
BMW,7 Series,50695
Scion,xD,38539
Pontiac,Montana,42549
Ford,Expedition,25391
Kia,Mohave/Borrego,32855
Buick,Regal,50330
Chrysler,PT Cruiser,39652
Subaru,Legacy,34160
Mercedes-Benz,CLS-Class,29341
Mercedes-Benz,W126,59735
Mercedes-Benz,G55 AMG,61752
Chevrolet,Beretta,56710
Nissan,Maxima,52927
Jaguar,S-Type,18837
Lexus,RX,22703
Volvo,S40,51525
Porsche,Panamera,41800
Pontiac,Grand Prix,44819
Honda,Accord,29301
Subaru,Legacy,65107
Infiniti,QX,48274
Mitsubishi,3000GT,46207
Buick,Skylark,22901
Kia,Forte,42985
Infiniti,QX,21321
BMW,Z4,14747
Chevrolet,Caprice,13864
Volvo,C70,44767
Cadillac,STS,68572
Mazda,626,67568
Mazda,929,67281
Maybach,57,66773
Buick,Riviera,48181
Kia,Sorento,67457
Nissan,Sentra,11823
Hyundai,Elantra,61581
Oldsmobile,Silhouette,68188
Ford,Festiva,56936
Infiniti,M,28140
Kia,Sorento,25381
Dodge,Colt,23101
Hyundai,Veloster,46543
Mazda,RX-7,66904
Chevrolet,Monte Carlo,11646
Audi,RS6,38783
Volkswagen,New Beetle,37980
Lincoln,Navigator,43417
Kia,Rio,64606
Ford,Probe,61334
Ford,Ranger,17208
Acura,RL,67817
GMC,Sierra 2500,69768
Chevrolet,1500,48337
Volkswagen,Passat,24061
Dodge,Grand Caravan,66474
Nissan,350Z,67734
Chevrolet,APV,31982
Nissan,Quest,31605
Audi,80,42290
Mercedes-Benz,G-Class,41624
Plymouth,Grand Voyager,50850
Mercedes-Benz,W201,52666
Volkswagen,Golf,31325
