car_make,car_model,year_release,VIN,price
Porsche,924 S,1987,JH4CU2F64CC032685,65768
Mercedes-Benz,S-Class,1995,4T3BA3BB6DU960544,19710
Mercedes-Benz,SL-Class,1984,WA1BV74LX7D854580,41032
Toyota,Tacoma,2003,WAUCFAFR1EA184306,16965
Mercury,Mountaineer,2003,2FMDK3AKXBB302208,56051
Hyundai,Accent,1998,NM0KS9BN4DT141896,79613
Saab,9-3,2011,1D7RB1CP4BS713254,71643
Mitsubishi,Truck,1994,JH4CW2H55BC221424,31246
Lexus,LX,2010,KL4CJASB4DB638108,43404
Saturn,Astra,2009,JTEBU5JRXC5154175,16755
Lotus,Exige,2010,2G61S5S37F9101525,20599
Cadillac,Escalade,2009,KNADH4A38A6119243,75116
Jeep,Wrangler,1999,1C6RD6NT1CS138194,40795
Chevrolet,Corvette,1962,1G6DF5EG0A0370548,42106
GMC,Savana 3500,2001,WD3PE7DC4F5649383,43151
Ford,Mustang,1989,1FTSW2A56AE128614,33013
Dodge,D150,1992,2T1KU4EEXCC527448,57120
Lincoln,LS,2002,WAUWG94F59N266166,19254
Nissan,Armada,2005,WAUHF78PX6A335827,48272
Subaru,Loyale,1994,5N1AR2MM4DC084794,19867
Oldsmobile,Bravada,1992,WA1VMBFE5ED502344,25062
Buick,Riviera,1985,1FTMF1E87AF787349,45618
Porsche,Cayenne,2005,2C3CDYAG9DH369473,46183
Dodge,Viper,1994,19UUA8F23EA933903,73998
Mazda,RX-7,1994,WA1CMAFE9DD321327,63561
Mercedes-Benz,CLK-Class,2009,KNAFT4A26C5104960,58330
Subaru,Justy,1987,1G6AR5S39F0051359,31528
MINI,Cooper,2012,JA32X8HW0AU278126,51123
Audi,A3,2009,WAUUL78E48A088541,52528
Mazda,Mazdaspeed6,2007,SCBET9ZA0F8188304,10742
Chrysler,Town & Country,2004,1FTEX1C86AF009273,13059
Volkswagen,rio,2001,4T1BF1FK5EU499301,23822
BMW,5 Series,2010,5TFBW5F11DX131987,49545
Lincoln,LS,2002,KL4CJGSB1EB200120,21654
Toyota,Celica,2003,3VWJX7AJ4AM532346,77413
Mercedes-Benz,E-Class,1999,WAU3MAFD5FN545251,69519
GMC,1500 Club Coupe,1992,TRUWT28N521285102,61889
Ford,Explorer,1991,JH4KB166X8C623929,73391
Dodge,Dakota,2000,WAUGFBFC2EN527779,47542
Chevrolet,Express 2500,1999,1C3CDFAA4FD049154,22518
Chrysler,Town & Country,2003,YV4902BZ0E1659550,76100
Nissan,Titan,2011,2T1KU4EE4BC935085,40194
Volkswagen,GTI,1985,JTHBL5EF4B5886628,71117
Toyota,Truck Xtracab SR5,1989,WAUAG78E56A536127,22907
Subaru,Outback,2008,1FTSE3EL7AD022244,20768
Dodge,Charger,2009,1FTMF1E86AK153604,38443
Buick,Century,2003,WAUED64B01N264328,42900
Chevrolet,Silverado 3500,2002,1G4PP5SK1D4642064,49249
Dodge,Neon,1999,1G6AB5S36F0446832,14162
Mercedes-Benz,M-Class,2003,1G4HC5EM3AU324309,70718
Suzuki,Equator,2009,WBAVB73598V657312,12894
Alfa Romeo,164,1992,3N1CE2CP9FL065883,37383
Buick,Coachbuilder,1994,JH4DC53833S827618,29397
Mitsubishi,3000GT,1994,19UUA8F50CA044192,57447
Plymouth,Horizon,1978,KM8JT3AB4BU260986,54485
Mitsubishi,Mirage,1989,1G6AB1R33F0970633,69795
Pontiac,Sunfire,2002,2C4RDGAG5CR351710,74786
Acura,RDX,2009,TRUSC28N731255633,68859
Volvo,V50,2005,JN1CV6AP7BM010262,20359
Geo,Tracker,1994,JTEBU5JR4E5486115,75799
Ford,F150,2001,5TDBM5G17BS159817,12247
GMC,Yukon Denali,2006,JTEBC3EH0C2341774,27985
Dodge,Ram 1500 Club,1997,1G4HJ5EM8AU487298,49259
Dodge,Sprinter,2009,WBA3A5G58EN446722,37247
Lexus,SC,2003,1G6DP5E37D0714603,14382
Honda,Civic,1996,JTDKN3DU0F0673064,13221
Honda,Accord,2012,1GD022CG0CZ141340,52787
Ford,E350,2010,WAUVT68E34A865929,20739
Buick,Riviera,1996,WAUUL78E45A240460,76321
Lotus,Esprit,2003,1G6DA8EY7B0372937,17804
Isuzu,Rodeo,1997,WA1AGAFE3CD932080,75375
Suzuki,Reno,2007,1G6AJ5SXXE0064677,45367
Cadillac,Escalade,2003,1G6KE57Y34U762744,29268
Nissan,350Z,2007,3GYFNAE36FS464636,60620
Land Rover,Sterling,1991,3VWML7AJ1DM612796,68670
Honda,Accord,1991,19VDE3F76EE438148,21276
Dodge,Ramcharger,1992,WAUJC68E13A025791,71812
Chevrolet,2500,1994,SAJWA2EK0EM477185,17659
Toyota,Corolla,2010,5LMJJ2H54AE430690,53235
Maserati,Quattroporte,2005,19UYA42752A830389,51504
Lexus,LX,1999,WBAYP1C5XED554980,59067
Chevrolet,Caprice Classic,1993,1G6AH5S31D0093623,36317
Volkswagen,rio,1997,WAULC68E63A446236,79945
GMC,Savana 1500,2008,1N6AA0EC9FN089970,76596
Ford,Probe,1997,5UXFH0C53BL534393,74963
Volkswagen,Golf,2006,WAUEG78E06A818001,36777
Aston Martin,DB9,2006,1C3BCBEB5EN437190,27452
Porsche,Boxster,2002,1G6DL8E39D0881574,19894
Oldsmobile,Silhouette,2000,1N6AF0KY6FN019909,29974
Toyota,Ipsum,2000,1G6DC1E31D0791228,42143
Ford,Flex,2013,4A37L2EF9AE216297,43280
Ford,Mustang,2000,4T1BF3EK7BU957588,29494
Lexus,IS-F,2012,JA32U2FU8DU681959,32336
Dodge,Durango,2008,1G4GD5GR5CF135136,57727
Mercedes-Benz,C-Class,2000,2T1BURHE5FC494162,53466
Buick,Rendezvous,2004,1FTEW1CW0AF414868,68422
BMW,X3,2004,1GYUKAEF0AR215187,48674
Mitsubishi,Eclipse,2004,WAUCVAFR6AA546546,35180
Mitsubishi,Diamante,2002,1N6AA0CA7DN883901,64720
Dodge,Ram Van B150,1994,WBAYP1C54FD755100,39383
Mitsubishi,Eclipse,1995,WBSKG9C54DJ801961,24214
Chevrolet,Suburban 1500,2005,1N4AB7AP0EN065286,48340
Audi,A6,2010,1N6AA0EK2FN455324,18453
Toyota,Highlander,2012,YV4902DZ1C2223696,29484
Chevrolet,Express 1500,2005,1G6DS1EDXB0171521,56199
Acura,RL,2007,1G6KD57Y91U860563,40851
Chrysler,Town & Country,1997,JN8AZ1FY8CW212017,42941
Land Rover,Discovery,2002,WAUJF78K99N479291,34702
Toyota,Tacoma,2006,WAUGL98E68A742724,11796
Dodge,Aspen,1976,1J4AA2D16AL474870,77561
Ford,Mustang,1997,3C6JD7DP1CG652190,63965
Mitsubishi,Endeavor,2011,WAULD54B33N744772,56200
Bentley,Arnage,2005,3N1AB7AP1FY922183,15216
Mazda,Millenia,1995,JHMGE8G2XAC723276,66910
Volvo,XC90,2010,WBAWL1C52AP060141,37145
Chevrolet,Suburban 1500,2002,3C63D3NL1CG650355,56081
Honda,Odyssey,2011,WAULC68E14A574918,39339
BMW,Z4 M,2008,VNKKTUD30FA702938,45269
Mercedes-Benz,SLS-Class,2011,JH4CL96815C667329,26507
Hyundai,Excel,1993,19UUA56781A013009,40605
BMW,745,2003,1N4AL2AP0BN122274,52914
Volvo,V70,2007,19VDE3F3XEE189317,17439
Lincoln,LS,2004,KNAGM4AD9E5476122,49013
Ford,Probe,1990,YV4852CZ1A1282216,47247
Chevrolet,Express 3500,2005,3VWML7AJXCM335046,59735
Toyota,Tacoma,2002,5NPDH4AE4CH555147,45327
Plymouth,Voyager,2000,WAUKH98E76A482794,17797
Toyota,FJ Cruiser,2012,1N6AF0KX1FN661980,55607
Ford,Mustang,2005,5FRYD3H41GB047404,39192
Jeep,Grand Cherokee,1994,JTEBU5JR2F5114726,13207
Chevrolet,Suburban 2500,2002,KM8JT3AC0AU905088,54120
Lexus,SC,2003,5N1AR1NB3CC530102,60534
GMC,Sonoma,2001,5NPEB4AC2CH206427,10415
Toyota,Sequoia,2006,WUAGNAFG9BN173650,26033
Toyota,Sienna,2007,WBA3B9C5XEJ647720,46869
Mercedes-Benz,E-Class,1988,WBXPC93407W084209,52884
Chevrolet,Suburban 1500,2010,WBA3B5C54DJ696516,66217
Pontiac,Grand Am,2001,1C4NJCBA9FD722529,22466
Mazda,MPV,1991,WAUFEAFM6DA964885,59434
Nissan,Altima,1997,SCFAD01E79G828023,76220
Saab,9-3,2002,3N1BC1AP8AL366720,38304
Nissan,Pathfinder,2008,3N1CE2CP6FL753470,65083
Dodge,Intrepid,1994,5XYKT3A10CG270532,58733
Volvo,V70,2006,WBAXA5C50ED295341,79928
Mercedes-Benz,R-Class,2006,3GYT4NEF6CG653051,17609
Buick,Century,1992,SCFEBBBK4DG368027,28857
Pontiac,1000,1986,WAUBH78EX8A011973,49134
Bentley,Continental Super,2011,2G4WC582471065786,58606
Lexus,LS,2010,3D73Y3CL4BG676260,46875
Toyota,Sequoia,2002,1FTEW1C88AK735551,52037
Chevrolet,Colorado,2006,1G6DT57V390974918,62417
Mitsubishi,Tredia,1984,1GYS3JEF2CR008288,42748
Buick,Somerset,1986,3D73M3HL6BG171700,51924
Subaru,B9 Tribeca,2007,WAUZL54B41N709443,60945
Honda,Accord,2010,1N6AA0CH6FN948270,72480
Honda,Odyssey,1996,5TDBCRFH3FS706466,37225
Chrysler,Fifth Ave,1992,WAUXU64B72N414588,45598
Mitsubishi,Mirage,1984,WA19FAFL7DA804738,58137
Mazda,MX-5,1997,1D7RB1GK9BS607655,75997
Porsche,928,1989,5UXFG2C51E0005514,16212
Audi,Cabriolet,1997,WAUDG74F39N342771,66667
Ford,E250,2012,1N4AL3AP7EC038166,33451
Bentley,Continental GT,2010,2C3CCAEG0DH931507,54230
Infiniti,FX,2006,KMHGH4JF6BU216685,14107
GMC,Sierra 3500,2009,YV1852AR8A1564398,37868
Chevrolet,Lumina,1996,YV1672MK9A2229533,20120
GMC,Acadia,2009,WBAKF3C58BE798489,71458
Cadillac,Escalade ESV,2003,WP0AA2A91CS680686,48540
Mazda,Mazda6,2013,JH4NA21663T313301,57199
GMC,Vandura 3500,1992,3D7LT2ET9BG391723,52402
Ford,Expedition,2008,5FRYD4H21GB543114,55154
Volkswagen,Eurovan,2003,YV126MFC5F1452510,44857
Dodge,Dakota,1995,3D7JB1EP9AG083554,36811
Lexus,SC,1994,5LMJJ3H51BE928398,38569
Mercury,Cougar,1984,SAJWA4DC6EM287560,51397
BMW,Z4,2011,5TDBY5G11FS906922,43292
Lincoln,Mark VII,1984,WAUNF98P37A061399,47539
Chrysler,LeBaron,1992,JN1CV6FEXAM208372,34811
Volkswagen,CC,2010,SCBGH3ZA0EC757686,23797
Toyota,Tacoma,2012,TRUUT28N611792631,55771
Cadillac,Catera,2001,3GYT4NEF2DG487418,51286
GMC,3500,1999,1G6AB5RX0E0846280,26735
Ford,Five Hundred,2005,1C4RDJDG5DC107297,47080
Buick,Reatta,1988,4JGDF2EE1DA854801,57832
Chrysler,Fifth Ave,1992,3D4PG4FB4AT992905,50253
Honda,Civic,2001,WA1YL54B25N188897,49878
Toyota,Sequoia,2009,4JGBB2FB3AA480775,16541
Hyundai,Sonata,2003,WVGAV3AXXEW187072,51377
Oldsmobile,88,1993,WBALZ5C55CD751080,43838
Shelby,GT350,1969,KMHFH4JG2EA603177,45468
GMC,Sierra 2500,2009,2G4GR5ER0D9287890,12032
Plymouth,Grand Voyager,1998,3VWJP7AT0CM740146,48644
Lexus,LX,1998,WBSDX9C58DJ590885,59989
Nissan,Armada,2011,4T1BF1FK8EU111381,33211
Ford,Bronco II,1988,5BZBF0AA2FN829260,33344
Pontiac,Grand Prix,1962,JH4KB2F60CC473649,11217
Jeep,Wrangler,2002,WBAET374X2N468778,71353
Dodge,Avenger,1999,3C63D2EL8CG637726,28494
GMC,Vandura 2500,1994,WAU3GAFC3DN988686,22141
Acura,TSX,2007,1G6KY54942U823634,17079
BMW,8 Series,1995,1FMJK1G53BE449886,47392
Lincoln,Continental Mark VII,1988,JN1CV6EK7DM250560,21969
BMW,645,2005,1VWAH7A33DC722840,60965
Toyota,Prius Plug-in,2012,WDDHF5GB3AA574440,69658
Mercury,Grand Marquis,2004,1G6DM56T850863918,22732
Jeep,Grand Cherokee,2010,19XFA1F26AE007260,56978
Chevrolet,Sportvan G30,1994,3D73Y3CL2AG739032,23168
BMW,Z4 M,2008,1G6DA8E50D0969307,14624
Mazda,Protege,2001,JN1BJ0HP7EM441201,70722
Toyota,Tercel,1996,1G6DG8EYXB0621679,66644
Pontiac,Grand Prix,1988,5XYZT3LB5EG118690,27596
Pontiac,Grand Prix,1993,1N6AA0CH5DN929237,41716
Nissan,Titan,2004,WBA3X9C52FD470999,18392
Toyota,Prius,2011,WAUDF58E05A799659,29122
Lincoln,MKT,2011,WVWED7AJ0CW776351,69391
Nissan,350Z Roadster,2006,2C3CA4CD9AH539847,48600
